"school_id","year","level","assessment","subject","tested","proficiency"
"610366",2024,"ES","IAR/PARCC","reading",136,22.1
"610367",2024,"ES","IAR/PARCC","reading",223,13.9
"610368",2024,"ES","IAR/PARCC","reading",223,9.4
"610369",2024,"ES","IAR/PARCC","reading",159,12.6
"610391",2024,"ES","IAR/PARCC","reading",227,47.1
"610396",2024,"ES","IAR/PARCC","reading",612,26.6
"610405",2024,"ES","IAR/PARCC","reading",224,25.4
"610503",2024,"ES","IAR/PARCC","reading",95,27.4
"610515",2024,"ES","IAR/PARCC","reading",227,52
"610520",2024,"ES","IAR/PARCC","reading",331,62.5
"610521",2024,"ES","IAR/PARCC","reading",77,20.8
"610523",2024,"ES","IAR/PARCC","reading",270,49.3
"610530",2024,"ES","IAR/PARCC","reading",107,18.7
"610532",2024,"ES","IAR/PARCC","reading",766,18.7
"610533",2024,"ES","IAR/PARCC","reading",518,25.1
"610534",2024,"ES","IAR/PARCC","reading",338,93.5
"610539",2024,"ES","IAR/PARCC","reading",461,21.7
"610541",2024,"ES","IAR/PARCC","reading",387,32.3
